Title,Experience,Location,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8
Machine Learning Engineer,0-2 years,Ahmedabad,Deep Learning,TensorFlow,Computer Vision,Python,Big Data,Scikit-learn,NLP,PyTorch
Cybersecurity Analyst,10+ years,Bangalore,Penetration Testing,Firewalls,Network Security,Linux,Encryption,Ethical Hacking,Incident Response,SIEM
Cybersecurity Analyst,0-2 years,Mumbai,Firewalls,Incident Response,Encryption,Network Security,Penetration Testing,Linux,SIEM,Ethical Hacking
Cybersecurity Analyst,5-10 years,Delhi,Linux,Encryption,Ethical Hacking,SIEM,Penetration Testing,Firewalls,Network Security,Incident Response
Cybersecurity Analyst,5-10 years,Hyderabad,Linux,Ethical Hacking,Firewalls,Network Security,Penetration Testing,Incident Response,SIEM,Encryption
Cybersecurity Analyst,10+ years,Pune,Network Security,SIEM,Ethical Hacking,Linux,Penetration Testing,Encryption,Incident Response,Firewalls
Cybersecurity Analyst,5-10 years,Chennai,Ethical Hacking,Encryption,Incident Response,Penetration Testing,SIEM,Firewalls,Linux,Network Security
Cybersecurity Analyst,0-2 years,Gurgaon,Incident Response,Ethical Hacking,SIEM,Linux,Network Security,Encryption,Firewalls,Penetration Testing
Cybersecurity Analyst,0-2 years,Noida,Firewalls,Incident Response,Ethical Hacking,Network Security,Encryption,Penetration Testing,SIEM,Linux
Cybersecurity Analyst,2-5 years,Kolkata,Network Security,Encryption,SIEM,Linux,Incident Response,Ethical Hacking,Penetration Testing,Firewalls
Cybersecurity Analyst,10+ years,Ahmedabad,Incident Response,Linux,Network Security,Ethical Hacking,SIEM,Firewalls,Penetration Testing,Encryption
DevOps Engineer,10+ years,Bangalore,Kubernetes,Linux,Terraform,Docker,Jenkins,AWS,CI/CD,Shell Scripting
DevOps Engineer,2-5 years,Mumbai,Kubernetes,CI/CD,Linux,Terraform,Jenkins,Shell Scripting,Docker,AWS
DevOps Engineer,0-2 years,Delhi,Kubernetes,AWS,Terraform,Docker,Jenkins,Linux,Shell Scripting,CI/CD
DevOps Engineer,0-2 years,Hyderabad,Kubernetes,Linux,Shell Scripting,Jenkins,CI/CD,Terraform,AWS,Docker
DevOps Engineer,2-5 years,Pune,Kubernetes,Linux,Docker,CI/CD,Terraform,AWS,Shell Scripting,Jenkins
DevOps Engineer,2-5 years,Chennai,AWS,Docker,Shell Scripting,CI/CD,Linux,Terraform,Jenkins,Kubernetes
DevOps Engineer,0-2 years,Gurgaon,Kubernetes,Docker,AWS,Shell Scripting,Jenkins,CI/CD,Terraform,Linux
DevOps Engineer,2-5 years,Noida,Docker,Kubernetes,AWS,Linux,CI/CD,Terraform,Jenkins,Shell Scripting
DevOps Engineer,0-2 years,Kolkata,Terraform,Kubernetes,CI/CD,Shell Scripting,Docker,Jenkins,Linux,AWS
DevOps Engineer,2-5 years,Ahmedabad,Linux,Jenkins,AWS,CI/CD,Shell Scripting,Kubernetes,Terraform,Docker
Cloud Engineer,0-2 years,Bangalore,Kubernetes,AWS,Terraform,Networking,Google Cloud,Azure,DevOps,Linux
Cloud Engineer,5-10 years,Mumbai,Networking,DevOps,AWS,Google Cloud,Kubernetes,Azure,Terraform,Linux
Cloud Engineer,5-10 years,Delhi,DevOps,Azure,Linux,Kubernetes,Networking,Terraform,Google Cloud,AWS
Cloud Engineer,10+ years,Hyderabad,Linux,Kubernetes,Azure,Terraform,DevOps,AWS,Google Cloud,Networking
Cloud Engineer,2-5 years,Pune,Kubernetes,Networking,AWS,Terraform,Google Cloud,Linux,Azure,DevOps
Cloud Engineer,5-10 years,Chennai,AWS,Azure,Networking,DevOps,Terraform,Google Cloud,Kubernetes,Linux
Cloud Engineer,2-5 years,Gurgaon,Kubernetes,Azure,Terraform,Google Cloud,Networking,DevOps,Linux,AWS
Cloud Engineer,5-10 years,Noida,Google Cloud,Terraform,AWS,Linux,Azure,Networking,DevOps,Kubernetes
Cloud Engineer,2-5 years,Kolkata,Google Cloud,Terraform,Linux,Kubernetes,Azure,Networking,AWS,DevOps
Cloud Engineer,5-10 years,Ahmedabad,Azure,Linux,Terraform,DevOps,Google Cloud,Networking,Kubernetes,AWS
Web Developer,10+ years,Bangalore,HTML,MongoDB,Express.js,Node.js,JavaScript,CSS,Git,React
Web Developer,2-5 years,Mumbai,React,MongoDB,HTML,JavaScript,CSS,Node.js,Git,Express.js
Web Developer,10+ years,Delhi,React,Git,CSS,MongoDB,HTML,Express.js,Node.js,JavaScript
Web Developer,0-2 years,Hyderabad,MongoDB,Express.js,JavaScript,Git,React,Node.js,CSS,HTML
Web Developer,2-5 years,Pune,JavaScript,CSS,React,MongoDB,HTML,Express.js,Node.js,Git
Web Developer,2-5 years,Chennai,CSS,React,Express.js,MongoDB,JavaScript,Git,Node.js,HTML
Web Developer,0-2 years,Gurgaon,Express.js,HTML,MongoDB,Git,Node.js,JavaScript,React,CSS
Web Developer,0-2 years,Noida,Express.js,HTML,CSS,React,JavaScript,MongoDB,Node.js,Git
Web Developer,5-10 years,Kolkata,CSS,JavaScript,Git,Express.js,Node.js,React,MongoDB,HTML
Web Developer,0-2 years,Ahmedabad,JavaScript,Git,CSS,Express.js,HTML,MongoDB,Node.js,React
Full Stack Developer,2-5 years,Bangalore,JavaScript,Express,API Design,Node.js,React,SQL,Git,MongoDB
Full Stack Developer,10+ years,Mumbai,JavaScript,Express,MongoDB,React,Git,SQL,Node.js,API Design
Full Stack Developer,0-2 years,Delhi,SQL,MongoDB,API Design,Express,Node.js,JavaScript,React,Git
Full Stack Developer,2-5 years,Hyderabad,Node.js,SQL,Git,React,JavaScript,Express,MongoDB,API Design
Full Stack Developer,2-5 years,Pune,Express,MongoDB,React,Node.js,JavaScript,SQL,API Design,Git
Full Stack Developer,0-2 years,Chennai,MongoDB,React,SQL,Express,API Design,Git,JavaScript,Node.js
Full Stack Developer,10+ years,Gurgaon,SQL,Node.js,MongoDB,Express,API Design,Git,JavaScript,React
Full Stack Developer,0-2 years,Noida,Node.js,JavaScript,React,API Design,Express,Git,SQL,MongoDB
Full Stack Developer,5-10 years,Kolkata,Express,Git,React,Node.js,SQL,JavaScript,API Design,MongoDB
Full Stack Developer,0-2 years,Ahmedabad,Express,MongoDB,Git,React,Node.js,API Design,JavaScript,SQL
Finance Analyst,10+ years,Bangalore,Forecasting,Investment Analysis,Budgeting,Power BI,SQL,Excel,Accounting,Financial Modeling
Finance Analyst,5-10 years,Mumbai,Budgeting,Investment Analysis,Financial Modeling,Accounting,Excel,Power BI,SQL,Forecasting
Finance Analyst,2-5 years,Delhi,Financial Modeling,SQL,Budgeting,Power BI,Accounting,Excel,Investment Analysis,Forecasting
Finance Analyst,10+ years,Hyderabad,Forecasting,Financial Modeling,Power BI,Budgeting,Investment Analysis,Excel,SQL,Accounting
Finance Analyst,5-10 years,Pune,Investment Analysis,SQL,Financial Modeling,Power BI,Accounting,Budgeting,Forecasting,Excel
Finance Analyst,5-10 years,Chennai,Power BI,Investment Analysis,Forecasting,Excel,Financial Modeling,Budgeting,SQL,Accounting
Finance Analyst,2-5 years,Gurgaon,Excel,Forecasting,Power BI,Accounting,Investment Analysis,SQL,Budgeting,Financial Modeling
Finance Analyst,5-10 years,Noida,Budgeting,SQL,Forecasting,Financial Modeling,Accounting,Power BI,Investment Analysis,Excel
Finance Analyst,0-2 years,Kolkata,Power BI,SQL,Financial Modeling,Investment Analysis,Budgeting,Accounting,Excel,Forecasting
Finance Analyst,2-5 years,Ahmedabad,SQL,Power BI,Budgeting,Investment Analysis,Forecasting,Excel,Financial Modeling,Accounting
Investment Banker,2-5 years,Bangalore,Private Equity,Mergers,Excel,Corporate Finance,Valuation,IPO,Financial Modeling,Risk Analysis
Investment Banker,2-5 years,Mumbai,Mergers,IPO,Financial Modeling,Excel,Private Equity,Risk Analysis,Valuation,Corporate Finance
Investment Banker,10+ years,Delhi,Risk Analysis,Excel,Valuation,Financial Modeling,Mergers,Private Equity,Corporate Finance,IPO
Investment Banker,2-5 years,Hyderabad,Excel,Mergers,Private Equity,Corporate Finance,Risk Analysis,Valuation,Financial Modeling,IPO
Investment Banker,0-2 years,Pune,Private Equity,Mergers,Risk Analysis,Valuation,IPO,Corporate Finance,Financial Modeling,Excel
Investment Banker,2-5 years,Chennai,IPO,Mergers,Private Equity,Corporate Finance,Valuation,Financial Modeling,Risk Analysis,Excel
Investment Banker,2-5 years,Gurgaon,Mergers,Excel,Private Equity,Risk Analysis,Valuation,Corporate Finance,IPO,Financial Modeling
Investment Banker,5-10 years,Noida,Excel,Mergers,Valuation,Financial Modeling,Risk Analysis,Private Equity,Corporate Finance,IPO
Investment Banker,0-2 years,Kolkata,Corporate Finance,Private Equity,Excel,Risk Analysis,IPO,Financial Modeling,Mergers,Valuation
Investment Banker,2-5 years,Ahmedabad,Risk Analysis,Private Equity,Valuation,IPO,Excel,Financial Modeling,Corporate Finance,Mergers
Marketing Manager,0-2 years,Bangalore,SEO,Brand Management,Social Media,Email Marketing,Content Strategy,PPC,Google Analytics,Google Ads
Marketing Manager,2-5 years,Mumbai,PPC,Google Analytics,Social Media,Content Strategy,Email Marketing,Google Ads,Brand Management,SEO
Marketing Manager,0-2 years,Delhi,Google Analytics,PPC,Google Ads,Brand Management,Content Strategy,Email Marketing,Social Media,SEO
Marketing Manager,10+ years,Hyderabad,PPC,SEO,Social Media,Email Marketing,Content Strategy,Google Analytics,Brand Management,Google Ads
Marketing Manager,0-2 years,Pune,PPC,Google Ads,Email Marketing,Social Media,Content Strategy,Google Analytics,SEO,Brand Management
Marketing Manager,5-10 years,Chennai,Social Media,Google Ads,SEO,Email Marketing,Google Analytics,Content Strategy,Brand Management,PPC
Marketing Manager,5-10 years,Gurgaon,Google Ads,SEO,Brand Management,PPC,Social Media,Google Analytics,Content Strategy,Email Marketing
Marketing Manager,10+ years,Noida,Email Marketing,Social Media,Brand Management,SEO,Google Analytics,PPC,Content Strategy,Google Ads
Marketing Manager,10+ years,Kolkata,Google Analytics,Brand Management,Google Ads,Social Media,Email Marketing,SEO,PPC,Content Strategy
Marketing Manager,5-10 years,Ahmedabad,Google Analytics,PPC,Email Marketing,Content Strategy,Social Media,SEO,Brand Management,Google Ads
HR Manager,5-10 years,Bangalore,Conflict Resolution,Employee Relations,Payroll,Onboarding,Performance Management,Recruitment,Training,HR Policies
HR Manager,2-5 years,Mumbai,Payroll,Performance Management,Conflict Resolution,Training,HR Policies,Onboarding,Recruitment,Employee Relations
HR Manager,10+ years,Delhi,Employee Relations,Recruitment,Performance Management,Conflict Resolution,HR Policies,Payroll,Training,Onboarding
HR Manager,2-5 years,Hyderabad,Payroll,Onboarding,Recruitment,Employee Relations,Training,Conflict Resolution,HR Policies,Performance Management
HR Manager,2-5 years,Pune,Training,HR Policies,Recruitment,Payroll,Onboarding,Conflict Resolution,Performance Management,Employee Relations
HR Manager,10+ years,Chennai,Payroll,HR Policies,Performance Management,Recruitment,Onboarding,Training,Employee Relations,Conflict Resolution
HR Manager,5-10 years,Gurgaon,Onboarding,Conflict Resolution,HR Policies,Recruitment,Training,Performance Management,Payroll,Employee Relations
HR Manager,10+ years,Noida,HR Policies,Onboarding,Training,Conflict Resolution,Recruitment,Performance Management,Payroll,Employee Relations
HR Manager,5-10 years,Kolkata,Recruitment,Conflict Resolution,Employee Relations,Onboarding,Training,Performance Management,HR Policies,Payroll
HR Manager,0-2 years,Ahmedabad,Conflict Resolution,Recruitment,Payroll,Performance Management,Training,Onboarding,Employee Relations,HR Policies
Doctor,0-2 years,Bangalore,Surgery,Pathology,Pharmacology,Medical Ethics,Diagnosis,Emergency Medicine,Public Health,Patient Care
Doctor,5-10 years,Mumbai,Pathology,Pharmacology,Emergency Medicine,Surgery,Public Health,Medical Ethics,Patient Care,Diagnosis
Doctor,10+ years,Delhi,Diagnosis,Pharmacology,Pathology,Surgery,Public Health,Medical Ethics,Emergency Medicine,Patient Care
Doctor,5-10 years,Hyderabad,Emergency Medicine,Public Health,Medical Ethics,Diagnosis,Surgery,Pharmacology,Patient Care,Pathology
Doctor,5-10 years,Pune,Emergency Medicine,Surgery,Pathology,Patient Care,Diagnosis,Pharmacology,Public Health,Medical Ethics
Doctor,5-10 years,Chennai,Patient Care,Pharmacology,Pathology,Emergency Medicine,Medical Ethics,Diagnosis,Public Health,Surgery
Doctor,2-5 years,Gurgaon,Diagnosis,Pathology,Pharmacology,Public Health,Medical Ethics,Patient Care,Emergency Medicine,Surgery
Doctor,5-10 years,Noida,Public Health,Medical Ethics,Surgery,Patient Care,Pharmacology,Pathology,Emergency Medicine,Diagnosis
Doctor,5-10 years,Kolkata,Emergency Medicine,Diagnosis,Public Health,Pathology,Pharmacology,Surgery,Patient Care,Medical Ethics
Doctor,2-5 years,Ahmedabad,Patient Care,Pathology,Medical Ethics,Emergency Medicine,Surgery,Public Health,Diagnosis,Pharmacology
School Teacher,5-10 years,Bangalore,Lesson Planning,Educational Psychology,Digital Learning,Communication,Curriculum Development,Classroom Management,Public Speaking,Student Assessment
School Teacher,5-10 years,Mumbai,Classroom Management,Communication,Lesson Planning,Digital Learning,Public Speaking,Curriculum Development,Educational Psychology,Student Assessment
School Teacher,10+ years,Delhi,Lesson Planning,Curriculum Development,Communication,Public Speaking,Educational Psychology,Digital Learning,Student Assessment,Classroom Management
School Teacher,10+ years,Hyderabad,Student Assessment,Lesson Planning,Public Speaking,Digital Learning,Curriculum Development,Educational Psychology,Classroom Management,Communication
School Teacher,0-2 years,Pune,Communication,Educational Psychology,Classroom Management,Lesson Planning,Digital Learning,Curriculum Development,Public Speaking,Student Assessment
School Teacher,10+ years,Chennai,Digital Learning,Classroom Management,Lesson Planning,Communication,Curriculum Development,Public Speaking,Student Assessment,Educational Psychology
School Teacher,10+ years,Gurgaon,Digital Learning,Classroom Management,Lesson Planning,Curriculum Development,Educational Psychology,Student Assessment,Public Speaking,Communication
School Teacher,10+ years,Noida,Educational Psychology,Public Speaking,Student Assessment,Curriculum Development,Classroom Management,Digital Learning,Lesson Planning,Communication
School Teacher,0-2 years,Kolkata,Curriculum Development,Public Speaking,Lesson Planning,Student Assessment,Classroom Management,Educational Psychology,Communication,Digital Learning
School Teacher,2-5 years,Ahmedabad,Public Speaking,Classroom Management,Digital Learning,Educational Psychology,Student Assessment,Communication,Lesson Planning,Curriculum Development
Lawyer,10+ years,Bangalore,Intellectual Property,Contract Law,Criminal Law,Client Consultation,Litigation,Negotiation,Corporate Law,Legal Research
Lawyer,5-10 years,Mumbai,Criminal Law,Negotiation,Litigation,Corporate Law,Client Consultation,Contract Law,Legal Research,Intellectual Property
Lawyer,10+ years,Delhi,Criminal Law,Legal Research,Corporate Law,Contract Law,Litigation,Client Consultation,Negotiation,Intellectual Property
Lawyer,2-5 years,Hyderabad,Negotiation,Corporate Law,Criminal Law,Legal Research,Intellectual Property,Client Consultation,Contract Law,Litigation
Lawyer,5-10 years,Pune,Legal Research,Negotiation,Criminal Law,Litigation,Corporate Law,Contract Law,Client Consultation,Intellectual Property
Lawyer,2-5 years,Chennai,Criminal Law,Client Consultation,Negotiation,Contract Law,Intellectual Property,Legal Research,Litigation,Corporate Law
Lawyer,2-5 years,Gurgaon,Contract Law,Intellectual Property,Legal Research,Negotiation,Corporate Law,Litigation,Criminal Law,Client Consultation
Lawyer,5-10 years,Noida,Intellectual Property,Litigation,Criminal Law,Contract Law,Corporate Law,Negotiation,Legal Research,Client Consultation
Lawyer,10+ years,Kolkata,Corporate Law,Client Consultation,Legal Research,Contract Law,Intellectual Property,Negotiation,Litigation,Criminal Law
Lawyer,2-5 years,Ahmedabad,Legal Research,Negotiation,Intellectual Property,Corporate Law,Litigation,Criminal Law,Contract Law,Client Consultation
Graphic Designer,10+ years,Bangalore,Adobe Illustrator,UI Design,Sketching,Color Theory,Adobe Photoshop,Logo Design,Branding,Typography
Graphic Designer,2-5 years,Mumbai,Adobe Photoshop,Adobe Illustrator,Logo Design,Color Theory,Typography,Branding,UI Design,Sketching
Graphic Designer,10+ years,Delhi,Logo Design,Typography,Branding,Color Theory,Adobe Photoshop,UI Design,Adobe Illustrator,Sketching
Graphic Designer,5-10 years,Hyderabad,Sketching,Branding,Logo Design,Color Theory,UI Design,Typography,Adobe Photoshop,Adobe Illustrator
Graphic Designer,2-5 years,Pune,Adobe Photoshop,Sketching,Branding,UI Design,Logo Design,Color Theory,Typography,Adobe Illustrator
Graphic Designer,10+ years,Chennai,Adobe Photoshop,Typography,Color Theory,Branding,Logo Design,Sketching,UI Design,Adobe Illustrator
Graphic Designer,2-5 years,Gurgaon,Color Theory,UI Design,Adobe Illustrator,Typography,Branding,Adobe Photoshop,Sketching,Logo Design
Graphic Designer,10+ years,Noida,Typography,Sketching,Color Theory,Branding,Logo Design,Adobe Illustrator,Adobe Photoshop,UI Design
Graphic Designer,10+ years,Kolkata,Branding,Typography,Color Theory,Sketching,Adobe Illustrator,UI Design,Logo Design,Adobe Photoshop
Graphic Designer,0-2 years,Ahmedabad,Sketching,Typography,Adobe Photoshop,Adobe Illustrator,Color Theory,Branding,UI Design,Logo Design
Mechanical Engineer,2-5 years,Bangalore,Robotics,Manufacturing,AutoCAD,Mechanical Design,CAD,Thermodynamics,Fluid Mechanics,SolidWorks
Mechanical Engineer,10+ years,Mumbai,Thermodynamics,Mechanical Design,Fluid Mechanics,Robotics,Manufacturing,AutoCAD,CAD,SolidWorks
Mechanical Engineer,10+ years,Delhi,CAD,AutoCAD,SolidWorks,Robotics,Thermodynamics,Fluid Mechanics,Mechanical Design,Manufacturing
Mechanical Engineer,5-10 years,Hyderabad,CAD,Mechanical Design,Manufacturing,Fluid Mechanics,Thermodynamics,Robotics,AutoCAD,SolidWorks
Mechanical Engineer,0-2 years,Pune,AutoCAD,Robotics,Fluid Mechanics,Thermodynamics,SolidWorks,CAD,Manufacturing,Mechanical Design
Mechanical Engineer,5-10 years,Chennai,Robotics,SolidWorks,AutoCAD,Manufacturing,Thermodynamics,Fluid Mechanics,Mechanical Design,CAD
Mechanical Engineer,0-2 years,Gurgaon,Robotics,AutoCAD,Manufacturing,Thermodynamics,CAD,Mechanical Design,SolidWorks,Fluid Mechanics
Mechanical Engineer,2-5 years,Noida,SolidWorks,Mechanical Design,Thermodynamics,AutoCAD,CAD,Fluid Mechanics,Manufacturing,Robotics
Mechanical Engineer,0-2 years,Kolkata,Robotics,Fluid Mechanics,AutoCAD,Manufacturing,CAD,SolidWorks,Thermodynamics,Mechanical Design
Mechanical Engineer,0-2 years,Ahmedabad,SolidWorks,Thermodynamics,Fluid Mechanics,CAD,Robotics,AutoCAD,Mechanical Design,Manufacturing
Civil Engineer,2-5 years,Bangalore,Structural Analysis,Project Planning,Building Codes,AutoCAD,Surveying,Geotechnical Engineering,Construction Management,Cost Estimation
Civil Engineer,0-2 years,Mumbai,Structural Analysis,AutoCAD,Geotechnical Engineering,Construction Management,Building Codes,Project Planning,Cost Estimation,Surveying
Civil Engineer,0-2 years,Delhi,Project Planning,Structural Analysis,Geotechnical Engineering,Construction Management,AutoCAD,Cost Estimation,Surveying,Building Codes
Civil Engineer,5-10 years,Hyderabad,Building Codes,Structural Analysis,Surveying,Construction Management,Project Planning,Geotechnical Engineering,AutoCAD,Cost Estimation
Civil Engineer,10+ years,Pune,Construction Management,Cost Estimation,Building Codes,Surveying,Structural Analysis,Project Planning,AutoCAD,Geotechnical Engineering
Civil Engineer,5-10 years,Chennai,Geotechnical Engineering,AutoCAD,Cost Estimation,Project Planning,Structural Analysis,Building Codes,Construction Management,Surveying
Civil Engineer,2-5 years,Gurgaon,Geotechnical Engineering,Building Codes,Cost Estimation,Surveying,Construction Management,Project Planning,AutoCAD,Structural Analysis
Civil Engineer,5-10 years,Noida,Surveying,Project Planning,Geotechnical Engineering,AutoCAD,Building Codes,Cost Estimation,Construction Management,Structural Analysis
Civil Engineer,2-5 years,Kolkata,AutoCAD,Construction Management,Building Codes,Structural Analysis,Project Planning,Geotechnical Engineering,Surveying,Cost Estimation
Civil Engineer,0-2 years,Ahmedabad,Cost Estimation,Geotechnical Engineering,Building Codes,Surveying,AutoCAD,Structural Analysis,Construction Management,Project Planning
Hotel Manager,10+ years,Bangalore,Food & Beverage,Hospitality,Customer Service,Revenue Management,Marketing,Event Management,Guest Relations,Hotel Operations
Hotel Manager,5-10 years,Mumbai,Customer Service,Marketing,Guest Relations,Food & Beverage,Hospitality,Hotel Operations,Revenue Management,Event Management
Hotel Manager,0-2 years,Delhi,Guest Relations,Hotel Operations,Customer Service,Revenue Management,Event Management,Hospitality,Marketing,Food & Beverage
Hotel Manager,10+ years,Hyderabad,Marketing,Hospitality,Hotel Operations,Food & Beverage,Guest Relations,Customer Service,Revenue Management,Event Management
Hotel Manager,0-2 years,Pune,Revenue Management,Food & Beverage,Event Management,Marketing,Guest Relations,Hotel Operations,Hospitality,Customer Service
Hotel Manager,2-5 years,Chennai,Marketing,Revenue Management,Hospitality,Customer Service,Event Management,Hotel Operations,Food & Beverage,Guest Relations
Hotel Manager,2-5 years,Gurgaon,Revenue Management,Customer Service,Hospitality,Guest Relations,Food & Beverage,Marketing,Event Management,Hotel Operations
Hotel Manager,5-10 years,Noida,Event Management,Food & Beverage,Guest Relations,Revenue Management,Marketing,Customer Service,Hospitality,Hotel Operations
Hotel Manager,5-10 years,Kolkata,Hospitality,Revenue Management,Hotel Operations,Event Management,Customer Service,Marketing,Food & Beverage,Guest Relations
Hotel Manager,5-10 years,Ahmedabad,Revenue Management,Customer Service,Event Management,Hospitality,Hotel Operations,Guest Relations,Marketing,Food & Beverage
Software Engineer,5-10 years,Bangalore,Algorithms,SQL,OOP,C++,Git,Python,Java,Data Structures
Software Engineer,10+ years,Mumbai,Java,Python,SQL,OOP,C++,Algorithms,Data Structures,Git
Software Engineer,5-10 years,Delhi,Git,Algorithms,Python,C++,OOP,Data Structures,SQL,Java
Software Engineer,0-2 years,Hyderabad,SQL,Java,Data Structures,Algorithms,C++,Git,Python,OOP
Software Engineer,10+ years,Pune,C++,Python,Git,Data Structures,Algorithms,OOP,Java,SQL
Software Engineer,0-2 years,Chennai,Python,Algorithms,C++,Java,OOP,Data Structures,SQL,Git
Software Engineer,5-10 years,Gurgaon,OOP,Algorithms,SQL,C++,Git,Java,Data Structures,Python
Software Engineer,0-2 years,Noida,Algorithms,Git,SQL,Java,Data Structures,Python,OOP,C++
Software Engineer,5-10 years,Kolkata,OOP,Data Structures,SQL,C++,Python,Algorithms,Java,Git
Software Engineer,5-10 years,Ahmedabad,SQL,Java,C++,Algorithms,OOP,Data Structures,Git,Python
Data Analyst,5-10 years,Bangalore,Visualization,Python,Data Cleaning,Tableau,Statistics,SQL,Excel,Power BI
Data Analyst,2-5 years,Mumbai,Data Cleaning,Statistics,Power BI,Visualization,Excel,SQL,Tableau,Python
Data Analyst,10+ years,Delhi,Power BI,Visualization,Statistics,Python,Data Cleaning,SQL,Tableau,Excel
Data Analyst,5-10 years,Hyderabad,Visualization,Tableau,Excel,Data Cleaning,SQL,Python,Statistics,Power BI
Data Analyst,2-5 years,Pune,Power BI,Visualization,Python,Statistics,Data Cleaning,Tableau,Excel,SQL
Data Analyst,0-2 years,Chennai,Data Cleaning,Visualization,Python,Excel,Power BI,Tableau,SQL,Statistics
Data Analyst,0-2 years,Gurgaon,Visualization,Data Cleaning,Tableau,Statistics,Excel,Power BI,SQL,Python
Data Analyst,10+ years,Noida,Statistics,SQL,Excel,Tableau,Python,Visualization,Data Cleaning,Power BI
Data Analyst,2-5 years,Kolkata,Statistics,Python,SQL,Tableau,Visualization,Power BI,Excel,Data Cleaning
Data Analyst,0-2 years,Ahmedabad,Data Cleaning,Statistics,Tableau,Python,SQL,Excel,Power BI,Visualization
Machine Learning Engineer,10+ years,Bangalore,Big Data,TensorFlow,Scikit-learn,PyTorch,NLP,Python,Computer Vision,Deep Learning
Machine Learning Engineer,2-5 years,Mumbai,Deep Learning,Computer Vision,TensorFlow,Big Data,PyTorch,Python,NLP,Scikit-learn
Machine Learning Engineer,10+ years,Delhi,Scikit-learn,Python,Deep Learning,Big Data,TensorFlow,NLP,Computer Vision,PyTorch
Machine Learning Engineer,2-5 years,Hyderabad,PyTorch,Computer Vision,TensorFlow,Big Data,Scikit-learn,NLP,Python,Deep Learning
